state,race name,county,date,permit approved y/n
Colorado,Pueblo Classic-Steel City Road Race,Pueblo,2020-03-14,no
Colorado,Pueblo Classic - Pueblo Chilly Crit,Pueblo,2020-03-14,no
Colorado,Louisville Crit,Boulder,2020-03-21,no
Colorado,CSU Cobb Lake RR,Larimer,2020-04-04,no
Colorado,CSU Oval Crit,Larimer,2020-04-05,no
Colorado,Buff Gold Road Race,Boulder,2020-04-11,no
Colorado,CU Buffalo Grand Prix,Boulder,2020-04-12,no
Colorado,Front Range Classic,El Paso,2020-04-18,no
Colorado,Front Range Classic,El Paso,2020-04-18,no
Colorado,Squawker Classic,La Plata,2020-04-25,no
Colorado,Squawker Classic,La Plata,2020-04-26,no
Colorado,Koppenberg,Boulder,2020-04-26,no
Colorado,Superior Morgul Classic- Road Race,Boulder,2020-05-17,no
Colorado,Steamboat Roubaix - CO Senior Road Race Championships,Routt,2020-05-31,no
Colorado,City Park Crit,Denver,2020-06-06,no
Colorado,Ridge at 38th Crit - CO Sr Crit Champs,Jefferson,2020-06-07,no
Colorado,Med Center of Aurora Dove Valley Crit,Arapahoe,2020-06-14,no
Colorado,Sunshine Hill Climb,Boulder,2020-06-21,no
Colorado,Miller Ranch Crit,Eagle,2020-06-27,no
Colorado,Boulder Centre for Orthopedics Crit,Jefferson,2020-06-28,yes
Colorado,Guanella Pass Hill Climb,Clear Creek,2020-06-28,no
Colorado,Niwot Crit,Boulder,2020-07-11,no
Colorado,Longmont Crit - CO Mstr Crit Champs,Boulder,2020-07-12,no
Colorado,Bannock Crit - CO Jr Crit Champs,Denver,2020-07-18,no
Colorado,Black Swift Cycleton CSP Crit,Jefferson,2020-07-19,no
Colorado,Mt Evans HC - CO Sr/Mstr HC Champs,Clear Creek,2020-07-25,no
Colorado,Stapleton Crit,Denver,2020-07-26,no
Colorado,Littleton Twilight Crit,Arapahoe,2020-08-01,no
Colorado,Lookout Mtn Hill Climb,Jefferson,2020-08-02,no
Colorado,Black Swift Cycleton CSP Crit- Mstr Crt Championships,Jefferson,2020-08-02,yes
Colorado,Pikes Peak Hill Climb,El Paso,2020-08-08,yes
Colorado,Thunderbird RR - CO Mstr RR Champs,El Paso,2020-08-09,no
Colorado,Black Swift Cycleton CSP Crit- Jr/Sr Crit Champs,Jefferson,2020-08-09,yes
Colorado,Timnath Reservoir RR,Larimer,2020-08-15,no
Colorado,Alfalfas Louisville Crit,Boulder,2020-08-16,no
Colorado,Ned - Lyons Omnium - RR,Boulder,2020-08-22,no
Colorado,Ned - Lyons Omnium - RR,Boulder,2020-08-23,no
Colorado,Black Swift Cycleton CSP Crit,Jefferson,2020-08-29,no
Colorado,Black Swift Cycleton CSP Crit,Jefferson,2020-08-30,yes
Colorado,Steamboat Springs Stage Race - RR,Routt,2020-09-06,yes
Colorado,Bowl of Death Cyclocross,Boulder,2020-09-17,yes
Colorado,Cyclo X Valmont,Boulder,2020-09-19,yes
Colorado,Bowl of Death Cyclocross,Boulder,2020-09-24,yes
Colorado,Pikes Peak APEX MTB,El Paso,2020-09-25,yes
Colorado,Pikes Peak APEX MTB,El Paso,2020-09-26,yes
Colorado,Pikes Peak APEX MTB,El Paso,2020-09-27,yes
Colorado,Bowl of Death Cyclocross,Boulder,2020-10-01,yes
Colorado,Cyclo X - Parker,Douglas,2020-10-04,yes
Colorado,Bowl of Death Cyclocross,Boulder,2020-10-08,yes
Colorado,Cyclo X - Interlocken,Broomfield,2020-10-10,yes
Colorado,Bowl of Death Cyclocross,Boulder,2020-10-15,yes
Colorado,Grit Nine-O Gravel Race ,Huerfano,2020-10-24,yes
Colorado,Schoolyard Cross,Douglas,2020-10-25,yes
Colorado,Cyclo X - Broomfield,Broomfield,2020-10-31,yes
Colorado,US Open Cyclo X,Douglas,2020-10-31,yes
Colorado,Cyclo X - Westminster,Jefferson,2020-11-14,no
Colorado,Cyclo X - Parker,Douglas,2020-11-14,yes
Colorado,Colorado CX Championships,Boulder,2020-11-21,no
Colorado,Colorado CX Championships,Boulder,2020-11-22,no
Colorado,Cyclo X - Longmont,Weld,2020-12-05,no